ANO,MES,PAIS,PROVINCIA,PLANTA,CANT. MUESTRA,INDICE_POTABILIDAD_(%),CLORO_RESIDUAL_(Mg/l)
2020,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"86,70","0,70"
2020,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"100,00","1,10"
2020,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,25,"100,00","1,40"
2020,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,26,"100,00","1,20"
2020,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,00"
2020,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,20"
2020,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,47,"95,30","0,60"
2020,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,34,"99,40","1,00"
2020,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,36,"100,00","1,10"
2020,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,00"
2020,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","1,30"
2020,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,41,"100,00","0,50"
2020,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,32,"100,00","1,20"
2020,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,32,"100,00","1,10"
2020,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,20"
2020,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,60"
2020,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,45,"95,60","0,90"
2020,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,31,"97,40","1,10"
2020,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,31,"98,70","1,20"
2020,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","0,60"
2020,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","1,10"
2020,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,45,"100,00","1,10"
2020,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,35,"97,10","1,10"
2020,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","0,90"
2020,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"93,30","0,70"
2020,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,35,"100,00","1,20"
2020,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,46,"100,00","1,00"
2020,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,46,"100,00","1,20"
2020,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,46,"100,00","1,20"
2020,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","1,00"
2020,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,20"
2020,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,46,"100,00","1,10"
2020,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,32,"100,00","1,30"
2020,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,33,"100,00","1,10"
2020,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","1,00"
2020,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,4,"100,00","0,80"
2020,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,46,"100,00","1,10"
2020,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,41,"99,00","1,30"
2020,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,43,"99,50","1,30"
2020,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","0,70"
2020,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,4,"100,00","1,20"
2020,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,48,"100,00","1,10"
2020,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,45,"97,40","1,30"
2020,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,45,"100,00","1,30"
2020,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","0,80"
2020,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,4,"100,00","1,00"
2020,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,42,"100,00","1,10"
2020,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,39,"97,90","1,20"
2020,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,39,"99,90","1,20"
2020,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","0,80"
2020,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","0,60"
2020,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,37,"100,00","1,00"
2020,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,33,"97,10","1,30"
2020,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,33,"100,00","1,30"
2020,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,10"
2020,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,30"
2021,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,30,"100,00","1,10"
2021,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,28,"97,10","1,30"
2021,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,28,"100,00","1,20"
2021,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,20"
2021,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,4,"100,00","1,00"
2021,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,26,"100,00","1,30"
2021,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,26,"100,00","1,40"
2021,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,10"
2021,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,00"
2021,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,29,"100,00","1,00"
2021,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,40,"100,00","0,90"
2021,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,45,"100,00","1,20"
2021,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,46,"100,00","1,30"
2021,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,00"
2021,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,20"
2021,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,20,"95,00","0,70"
2021,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,21,"100,00","1,20"
2021,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,21,"100,00","1,10"
2021,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,30"
2021,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","1,60"
2021,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,37,"100,00","1,00"
2021,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,38,"100,00","1,20"
2021,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,38,"100,00","1,20"
2021,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,10"
2021,MAYO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,50"
2021,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,39,"100,00","1,10"
2021,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,35,"96,60","1,40"
2021,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,37,"100,00","1,50"
2021,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,60"
2021,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","1,60"
2021,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,44,"100,00","0,90"
2021,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,46,"99,60","1,20"
2021,JULIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,48,"99,60","1,40"
2021,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,30"
2021,JULIO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"50,00","0,80"
2021,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"100,00","1,10"
2021,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,38,"100,00","1,20"
2021,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,38,"98,40","1,30"
2021,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,50"
2021,AGOSTO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"50,00","0,80"
2021,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,28,"100,00","1,10"
2021,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,29,"97,20","1,20"
2021,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,29,"100,00","1,20"
2021,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","0,60"
2021,SEPTIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","0,60"
2021,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,19,"100,00","0,80"
2021,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,21,"100,00","1,30"
2021,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,19,"100,00","1,10"
2021,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,40"
